t,x,y,z,vx,vy,vz,phi1,phi2,phi3,omega1,omega2,omega3,alpha1,alpha2,alpha3,tau1,tau2,tau3,valid
0.000000000000000000e+00,2.999999999999999889e-02,0.000000000000000000e+00,-6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.503759398496240518e-02,3.000000156830692072e-02,5.912597761785327969e-08,-7.000000392091295653e-01,3.124728557315604644e-07,1.178082568194251497e-05,-7.812401853939817566e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.007518796992481036e-02,3.000001249601624495e-02,4.712284324140124941e-07,-7.000003124929294884e-01,1.242974379775128448e-06,4.688683386301324365e-05,-3.109277149055834081e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.511278195488721554e-02,3.000004198571252015e-02,1.584403578743692898e-06,-7.000010506887843764e-01,2.778726169623698021e-06,1.049647891796185931e-04,-6.960674277257417086e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.015037593984962072e-02,3.000009901144018096e-02,3.741451185648930515e-06,-7.000024811186756901e-01,4.901690410459689603e-06,1.856635218320895847e-04,-1.231211332300659387e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.518796992481202590e-02,3.000019222100092781e-02,7.279906608692511904e-06,-7.000048276069813502e-01,7.586117471128839265e-06,2.886340549926450557e-04,-1.914039440604721953e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.022556390977443108e-02,3.000032980241165367e-02,1.253207465601169182e-05,-7.000083104982753879e-01,1.079623108336873659e-05,4.135297209890917165e-04,-2.742243601285917110e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.052631578947368363e-01,3.000051931656575258e-02,1.982506510203262514e-05,-7.000131466751271514e-01,1.448404762676609589e-05,5.600062638001151527e-04,-3.713527499665830625e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.203007518796992414e-01,3.000076749808819332e-02,2.948082962091977884e-05,-7.000195495759010678e-01,1.858732604280537092e-05,7.277219248385815523e-04,-4.825606657739647007e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.353383458646616466e-01,3.000108002632268303e-02,4.181619986267644484e-05,-7.000277292125558493e-01,2.302764491321694393e-05,9.163375085216310867e-04,-6.076208434176154924e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.503759398496240518e-01,3.000146126833733162e-02,5.714292633905630698e-05,-7.000378921884444772e-01,2.770860326200678844e-05,1.125516423725601064e-03,-7.463072024317739077e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.654135338345864570e-01,3.000191399578351278e-02,7.576771772521181784e-05,-7.000502417161132973e-01,3.251414167854623535e-05,1.354924696895290145e-03,-8.983948460180389952e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.804511278195488622e-01,3.000243907739219562e-02,9.799228011734530065e-05,-7.000649776351015596e-01,3.730698041247264702e-05,1.604230952316137082e-03,-1.063660061045368973e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.954887218045112673e-01,3.000303514884178346e-02,1.241133557175254452e-04,-7.000822964297412909e-01,4.192717116145770837e-05,1.873106354860226523e-03,-1.241880318050082692e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.105263157894736725e-01,3.000369826168318779e-02,1.544227603452052067e-04,-7.001023912469563903e-01,4.619075936165214786e-05,2.161224510378380835e-03,-1.432834271235859094e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.255639097744360777e-01,3.000442151296035809e-02,1.892074191016851253e-04,-7.001254519140621690e-01,4.988855389924008060e-05,2.468261318826992824e-03,-1.636301758473736670e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.406015037593984829e-01,3.000519465711940989e-02,2.287493994396043462e-04,-7.001516649565653339e-01,5.278500129133786959e-05,2.793894775185856369e-03,-1.852063801302113351e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.556390977443608881e-01,3.000600370175587547e-02,2.733259408152589670e-04,-7.001812136159627498e-01,5.461716153660072138e-05,3.137804713238553402e-03,-2.079902604926748676e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.706766917293232932e-01,3.000683048870918593e-02,3.232094800278272496e-04,-7.002142778675416457e-01,5.509378301132936834e-05,3.499672487346438925e-03,-2.319601558220761844e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
