t,sx,sy,sz,vx,vy,vz,ax,ay,az,jx,jy,jz,Fx,Fy,Fz
0.000000000000000000e+00,2.999999999999999889e-02,0.000000000000000000e+00,-6.999999999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,2.736146269321312711e-03,1.031502842261634439e-01,-6.840365673303280825e-02,0.000000000000000000e+00,0.000000000000000000e+00,-9.810000000000000941e-01
1.503759398496240518e-02,3.000000156830692072e-02,5.912597761785327969e-08,-7.000000392091295653e-01,3.124728557315604644e-07,1.178082568194251497e-05,-7.812401853939817566e-06,4.144984422961135810e-05,1.562913252537839574e-03,-1.036438769572553672e-03,2.734101733318518822e-03,1.031503926864974635e-01,-6.840365673303280825e-02,4.144984422961135640e-06,1.562913252537839737e-04,-9.811036438769573653e-01
3.007518796992481036e-02,3.000001249601624495e-02,4.712284324140124941e-07,-7.000003124929294884e-01,1.242974379775128448e-06,4.688683386301324365e-05,-3.109277149055834081e-05,8.216810504076554487e-05,3.102270658455342188e-03,-2.057252834076174312e-03,2.678547997668262980e-03,1.015882471280547678e-01,-6.736723108244015157e-02,8.216810504076555504e-06,3.102270658455342622e-04,-9.812057252834076593e-01
4.511278195488721554e-02,3.000004198571252015e-02,1.584403578743692898e-06,-7.000010506887843764e-01,2.778726169623698021e-06,1.049647891796185931e-04,-6.960674277257417086e-05,1.218896814265619171e-04,4.618205125206085310e-03,-3.062520907390302652e-03,2.599683813746514818e-03,1.000352394415172236e-01,-6.633603990483030732e-02,1.218896814265619171e-05,4.618205125206085743e-04,-9.813062520907390729e-01
6.015037593984962072e-02,3.000009901144018096e-02,3.741451185648930515e-06,-7.000024811186756901e-01,4.901690410459689603e-06,1.856635218320895847e-04,-1.231211332300659387e-04,1.601817359014885537e-04,6.110858361901932295e-03,-4.052321703394378555e-03,2.486665301513799921e-03,9.849193373199419121e-02,-6.531008320020324776e-02,1.601817359014885537e-05,6.110858361901932946e-04,-9.814052321703394810e-01
7.518796992481202590e-02,3.000019222100092781e-02,7.279906608692511904e-06,-7.000048276069813502e-01,7.586117471128839265e-06,2.886340549926450557e-04,-1.914039440604721953e-04,1.964529592693498895e-04,7.580380201005298621e-03,-5.026733935967843403e-03,2.329257012030599115e-03,9.695884470597798677e-02,-6.428936096855897286e-02,1.964529592693499099e-05,7.580380201005299055e-04,-9.815026733935968695e-01
9.022556390977443108e-02,3.000032980241165367e-02,1.253207465601169182e-05,-7.000083104982753879e-01,1.079623108336873659e-05,4.135297209890917165e-04,-2.742243601285917110e-04,2.299626043286551842e-04,9.026927776652989011e-03,-5.985836318990137711e-03,2.117816545376296437e-03,9.543642674228432210e-02,-6.327387320989748265e-02,2.299626043286552113e-05,9.026927776652989878e-04,-9.815985836318991131e-01
1.052631578947368363e-01,3.000051931656575258e-02,1.982506510203262514e-05,-7.000131466751271514e-01,1.448404762676609589e-05,5.600062638001151527e-04,-3.713527499665830625e-04,2.598292882376808432e-04,1.045066451957914720e-02,-6.929707566340700259e-03,1.843279172059514824e-03,9.392506049088655828e-02,-6.226361992421874936e-02,2.598292882376808432e-05,1.045066451957914764e-03,-9.816929707566341978e-01
1.203007518796992414e-01,3.000076749808819332e-02,2.948082962091977884e-05,-7.000195495759010678e-01,1.858732604280537092e-05,7.277219248385815523e-04,-4.825606657739647007e-04,2.850395639483175756e-04,1.185175893420938216e-02,-7.858426391898971561e-03,1.497142506303069916e-03,9.242503736128832026e-02,-6.125860111152289789e-02,2.850395639483176027e-05,1.185175893420938259e-03,-9.817858426391899984e-01
1.353383458646616466e-01,3.000108002632268303e-02,4.181619986267644484e-05,-7.000277292125558493e-01,2.302764491321694393e-05,9.163375085216310867e-04,-6.076208434176154924e-04,3.044562618903186627e-04,1.323038312877335837e-02,-8.772071509544395601e-03,1.071451285678280685e-03,9.093654224050087831e-02,-6.025881677180985191e-02,3.044562618903186830e-05,1.323038312877335924e-03,-9.818772071509545007e-01
1.503759398496240518e-01,3.000146126833733162e-02,5.714292633905630698e-05,-7.000378921884444772e-01,2.770860326200678844e-05,1.125516423725601064e-03,-7.463072024317739077e-04,3.168266039560952373e-04,1.458671107423885685e-02,-9.670721633156411159e-03,5.587823181937520180e-04,8.945963475979654134e-02,-5.926426690507949346e-02,3.168266039560952780e-05,1.458671107423885685e-03,-9.819670721633156907e-01
1.654135338345864570e-01,3.000191399578351278e-02,7.576771772521181784e-05,-7.000502417161132973e-01,3.251414167854623535e-05,1.354924696895290145e-03,-8.983948460180389952e-04,3.207900928067170605e-04,1.592091657251739484e-02,-1.055445547661445528e-02,-4.777033516607201869e-05,8.799422940923376513e-02,-5.827495151133188500e-02,3.207900928067170605e-05,1.592091657251739484e-03,-9.820554455476615541e-01
1.804511278195488622e-01,3.000243907739219562e-02,9.799228011734530065e-05,-7.000649776351015596e-01,3.730698041247264702e-05,1.604230952316137082e-03,-1.063660061045368973e-03,3.148861805943062265e-04,1.723317091874062082e-02,-1.142335175379797195e-02,-7.546098675521719723e-04,8.654007477954550609e-02,-5.729087059056719305e-02,3.148861805943062130e-05,1.723317091874062212e-03,-9.821423351753798547e-01
1.954887218045112673e-01,3.000303514884178346e-02,1.241133557175254452e-04,-7.000822964297412909e-01,4.192717116145770837e-05,1.873106354860226523e-03,-1.241880318050082692e-03,2.975617223731190104e-04,1.852364024647032079e-02,-1.227748917858640168e-02,-1.567650841405911818e-03,8.509673219239495545e-02,-5.631202414278524415e-02,2.975617223731190104e-05,1.852364024647032252e-03,-9.822277489178586896e-01
2.105263157894736725e-01,3.000369826168318779e-02,1.544227603452052067e-04,-7.001023912469563903e-01,4.619075936165214786e-05,2.161224510378380835e-03,-1.432834271235859094e-03,2.671782207468931724e-04,1.979248254849550262e-02,-1.311694646485918152e-02,-2.492332823730530281e-03,8.366355396228121466e-02,-5.533841216798605911e-02,2.671782207468931928e-05,1.979248254849550175e-03,-9.823116946464860444e-01
2.255639097744360777e-01,3.000442151296035809e-02,1.892074191016851253e-04,-7.001254519140621690e-01,4.988855389924008060e-05,2.468261318826992824e-03,-1.636301758473736670e-03,2.220188696664495732e-04,2.103984436940063013e-02,-1.394180232649575718e-02,-3.533633447774573496e-03,8.223966151655953682e-02,-5.437003466616973507e-02,2.220188696664496004e-05,2.103984436940063273e-03,-9.823941802326496830e-01
2.406015037593984829e-01,3.000519465711940989e-02,2.287493994396043462e-04,-7.001516649565653339e-01,5.278500129133786959e-05,2.793894775185856369e-03,-1.852063801302113351e-03,1.602954067399051260e-04,2.226585716937421605e-02,-1.475213547737556398e-02,-4.696080802323205315e-03,8.082392358419313028e-02,-5.340689163733631367e-02,1.602954067399051192e-05,2.226585716937421865e-03,-9.824752135477377024e-01
2.556390977443608881e-01,3.000600370175587547e-02,2.733259408152589670e-04,-7.001812136159627498e-01,5.461716153660072138e-05,3.137804713238553402e-03,-2.079902604926748676e-03,8.015478493707169907e-05,2.347063336178125195e-02,-1.554802463137805110e-02,-5.983765045484421181e-03,7.941493464900138688e-02,-5.244898308148550348e-02,8.015478493707169568e-06,2.347063336178125195e-03,-9.825548024631378663e-01
2.706766917293232932e-01,3.000683048870918593e-02,3.232094800278272496e-04,-7.002142778675416457e-01,5.509378301132936834e-05,3.499672487346438925e-03,-2.319601558220761844e-03,-2.031432385289215796e-05,2.465426202986168921e-02,-1.632954850238264866e-02,-7.400349136431229671e-03,7.801099384937194847e-02,-5.149630899861717959e-02,-2.031432385289215796e-06,2.465426202986169268e-03,-9.826329548502383826e-01
2.857142857142856984e-01,3.000765226197512833e-02,3.786676712770740321e-04,-7.002510344381785989e-01,5.389447398637169318e-05,3.879180587448060984e-03,-2.570945233724631056e-03,-1.430751793296257965e-04,2.581680433055647331e-02,-1.709678580426879368e-02,-8.949078576092867054e-03,7.661008449368487960e-02,-5.054886938873207752e-02,-1.430751793296258101e-05,2.581680433055647591e-03,-9.827096785804270151e-01
3.007518796992481036e-01,3.000844122387246252e-02,4.399633999004010716e-04,-7.002916568241396300e-01,5.066896856424727563e-05,4.276012182654808855e-03,-2.833719387646194392e-03,-2.901367616231375246e-04,2.695828859591918591e-02,-1.784981525091594232e-02,-1.063279004633643950e-02,7.520985434909971401e-02,-4.960666425182998912e-02,-2.901367616231375314e-05,2.695828859591918852e-03,-9.827849815250916388e-01
