t,x,y,z,vx,vy,vz,ax,ay,az,jx,jy,jz,tx,ty,tz,nx,ny,nz,bx,by,bz,kappa,ftx,fty,ftz,fnx,fny,fnz,fx,fy,fz
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.810000000000000497e+00,2.332933539528800448e+00,5.360544575404111356e+02,0.000000000000000000e+00,1.002337839724796271e-03,9.999994976593015172e-01,0.000000000000000000e+00,9.999994976593015172e-01,-1.002337839724796271e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000222e+00,4.183377145746398629e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.810000000000000497e+00
2.901279815745682472e-02,2.403202399995990513e-06,2.397595997602410597e-03,0.000000000000000000e+00,4.826104701539207483e-04,2.404208792054070842e-01,0.000000000000000000e+00,6.768492989711040464e-02,1.555243977802495792e+01,9.810000000000000497e+00,1.330290642504128940e+01,4.337734301035895896e+02,0.000000000000000000e+00,2.007352686742584248e-03,9.999979852655658252e-01,0.000000000000000000e+00,9.999979852655658252e-01,-2.007352686742584248e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.999999999999997780e-01,6.308655267564945435e-01,3.121944160940250124e-02,1.555251297726832327e+01,0.000000000000000000e+00,3.646548828770790340e-02,-7.319924336474685413e-05,0.000000000000000000e+00,6.768492989711040464e-02,1.555243977802495792e+01,9.810000000000000497e+00
3.682998024646418761e-02,9.606390361519864904e-06,4.785592024081766066e-03,0.000000000000000000e+00,1.509008679760906252e-03,3.746760567276034015e-01,0.000000000000000000e+00,1.947817261629732344e-01,1.872789579526065395e+01,9.810000000000000497e+00,2.069067132689772848e+01,3.803136818466653040e+02,-2.273736754432320595e-13,4.027469634553952453e-03,9.999918897112829441e-01,0.000000000000000000e+00,9.999918897112829441e-01,-4.027469634553952453e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,8.501948498858985515e-01,7.542857936686944709e-02,1.872837649033374063e+01,0.000000000000000000e+00,1.193531467961037873e-01,-4.806950730855959566e-04,0.000000000000000000e+00,1.947817261629732344e-01,1.872789579526065395e+01,9.810000000000000497e+00
4.237989536319265033e-02,2.159993502687548338e-05,7.164007337153455342e-03,0.000000000000000000e+00,2.934679253894748475e-03,4.842811764804196839e-01,0.000000000000000000e+00,3.270764302975505133e-01,2.073654739456506491e+01,9.810000000000000497e+00,2.862976253960107442e+01,3.440006418699576898e+02,0.000000000000000000e+00,6.059755188273164422e-03,9.999816395149753179e-01,0.000000000000000000e+00,9.999816395149753179e-01,-6.059755188273164422e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.999999999999998890e-01,8.587648677679207143e-01,1.256681039654453380e-01,2.073776790212462728e+01,0.000000000000000000e+00,2.014083263321051476e-01,-1.220507559563158628e-03,0.000000000000000000e+00,3.270764302975505133e-01,2.073654739456506491e+01,9.810000000000000497e+00
4.683599741140892503e-02,3.837420753836668920e-05,9.532861194532876031e-03,0.000000000000000000e+00,4.700677939746120658e-03,5.800049534275564245e-01,0.000000000000000000e+00,4.718005417338992369e-01,2.220531935234593490e+01,9.810000000000000497e+00,3.698278257104477973e+01,3.154921933780346990e+02,0.000000000000000000e+00,8.104281766250762131e-03,9.999671597692861846e-01,0.000000000000000000e+00,9.999671597692861846e-01,-8.104281766250762131e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.999999999999998890e-01,8.674278588102067866e-01,1.799832424417984744e-01,2.220768439963236318e+01,0.000000000000000000e+00,2.918172992921007625e-01,-2.365047286428048710e-03,0.000000000000000000e+00,4.718005417338992369e-01,2.220531935234593490e+01,9.810000000000000497e+00
5.062420363675887436e-02,5.991957903829736544e-05,1.189217285393541837e-02,0.000000000000000000e+00,6.771003420851153670e-03,6.663293646466138531e-01,0.000000000000000000e+00,6.264070730820907595e-01,2.335500639407390722e+01,9.810000000000000497e+00,4.513369995607281737e+01,2.916745068133454879e+02,0.000000000000000000e+00,1.016112184669163733e-02,9.999483744688105746e-01,0.000000000000000000e+00,9.999483744688105746e-01,-1.016112184669163733e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,8.761847646575859905e-01,2.373654898136523250e-01,2.335895969709629583e+01,0.000000000000000000e+00,3.890415832684384623e-01,-3.953303022388917135e-03,0.000000000000000000e+00,6.264070730820907595e-01,2.335500639407390722e+01,9.810000000000000497e+00
5.395375292464351519e-02,8.622642066897134774e-05,1.424196157307647259e-02,0.000000000000000000e+00,9.120476323443132277e-03,7.456692323757088126e-01,0.000000000000000000e+00,7.893273340624054057e-01,2.429157054669630256e+01,9.810000000000000497e+00,5.312380177767440159e+01,2.710348644500036244e+02,0.000000000000000000e+00,1.223034795470634081e-02,9.999252064974193388e-01,0.000000000000000000e+00,9.999252064974193388e-01,-1.223034795470634081e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.999999999999998890e-01,8.850365320454404161e-01,2.971902081210426871e-01,2.429759000520438050e+01,0.000000000000000000e+00,4.921371259413627186e-01,-6.019458508077460412e-03,0.000000000000000000e+00,7.893273340624054057e-01,2.429157054669630256e+01,9.810000000000000497e+00
5.694492178928106663e-02,1.172851035726924819e-04,1.658224660967142980e-02,0.000000000000000000e+00,1.173011764243699767e-02,8.195143557527452272e-01,0.000000000000000000e+00,9.594947175196700817e-01,2.507472806807651722e+01,9.810000000000000497e+00,6.098705508528357200e+01,2.527099884327963082e+02,0.000000000000000000e+00,1.431203264895210964e-02,9.998975776155553108e-01,0.000000000000000000e+00,9.998975776155553108e-01,-1.431203264895210964e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,8.939841126480145839e-01,3.590301078275628388e-01,2.508332281746969628e+01,0.000000000000000000e+00,6.004646096921072429e-01,-8.594749393180278751e-03,0.000000000000000000e+00,9.594947175196700817e-01,2.507472806807651722e+01,9.810000000000000497e+00
5.967406832441880804e-02,1.530859988917646205e-04,1.891304722143568803e-02,0.000000000000000000e+00,1.458494231380857119e-02,8.888673907869618640e-01,0.000000000000000000e+00,1.136139487780420287e+00,2.574171796101390086e+01,9.810000000000000497e+00,6.875062018153306553e+01,2.361547843008947893e+02,-2.273736754432320595e-13,1.640624850785495775e-02,9.998654084475062653e-01,0.000000000000000000e+00,9.998654084475062653e-01,-1.640624850785495775e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.000000000000000000e+00,9.030284629186515755e-01,4.225739894811370578e-01,2.575342646977200189e+01,0.000000000000000000e+00,7.135654982992832851e-01,-1.170850875810053489e-02,0.000000000000000000e+00,1.136139487780420287e+00,2.574171796101390086e+01,9.810000000000000497e+00
6.219305779181049515e-02,1.936194777684916433e-04,2.123438266608464187e-02,0.000000000000000000e+00,1.767270861168903501e-02,9.544436246697497461e-01,0.000000000000000000e+00,1.318680557007476661e+00,2.631743063939579130e+01,9.810000000000000497e+00,7.643649006909106447e+01,2.210005197498148846e+02,0.000000000000000000e+00,1.851306811540412087e-02,9.998286184686624445e-01,0.000000000000000000e+00,9.998286184686624445e-01,-1.851306811540412087e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-9.999999999999996669e-01,9.121705439216521993e-01,4.875848424138371495e-01,2.633281940832126722e+01,0.000000000000000000e+00,8.310957145936396229e-01,-1.538876892547636106e-02,0.000000000000000000e+00,1.318680557007476661e+00,2.631743063939579130e+01,9.810000000000000497e+00
